,38 Provinsi,Rata-Rata Lama Sekolah Penduduk Umur 15 Tahun ke Atas Menurut Provinsi
0,ACEH,9.95
1,SUMATERA UTARA,10.18
2,SUMATERA BARAT,9.72
3,RIAU,9.69
4,JAMBI,9.26
5,SUMATERA SELATAN,8.98
6,BENGKULU,9.4
7,LAMPUNG,8.8
8,KEP. BANGKA BELITUNG,8.78
9,KEP. RIAU,10.65
10,DKI JAKARTA,11.49
11,JAWA BARAT,9.24
12,JAWA TENGAH,8.47
13,DI YOGYAKARTA,10.23
14,JAWA TIMUR,8.69
15,BANTEN,9.55
16,BALI,9.87
17,NUSA TENGGARA BARAT,8.5
18,NUSA TENGGARA TIMUR,8.48
19,KALIMANTAN BARAT,8.28
20,KALIMANTAN TENGAH,9.17
21,KALIMANTAN SELATAN,9.02
22,KALIMANTAN TIMUR,10.22
23,KALIMANTAN UTARA,9.58
24,SULAWESI UTARA,10.02
25,SULAWESI TENGAH,9.28
26,SULAWESI SELATAN,9.22
27,SULAWESI TENGGARA,9.74
28,GORONTALO,8.64
29,SULAWESI BARAT,8.56
30,MALUKU,10.44
31,MALUKU UTARA,9.7
32,PAPUA BARAT,9.87
33,PAPUA BARAT DAYA,10.48
34,PAPUA,10.7
35,PAPUA SELATAN,8.99
36,PAPUA TENGAH,6.17
37,PAPUA PEGUNUNGAN,5.1
38,INDONESIA,9.22
